,Unnamed: 0,x,y,t,dx,dy
0,0,9.920690214968532,5.774142250902753,0.0,-1.6047539218620557,-2.180674263606681
1,1,9.118313254037504,4.6838051190994126,0.5,-0.7307404405841158,-1.5579515391929988
2,2,9.189949774384417,4.216190711709754,1.0,0.8999442171380778,-1.6149229786809145
3,3,10.018257471175582,3.068882140418498,1.5,0.62555299134908,-0.6901721622020043
4,4,9.815502765733497,3.52601854950775,2.0,0.33369052952107126,0.3010557836569201
5,5,10.351948000696654,3.369937924075418,2.5,1.1715574026519402,-0.7234138401707839
6,6,10.987060168385437,2.802604709336966,3.0,1.261333838798155,-0.961899017824162
7,7,11.613281839494809,2.408038906251256,3.5,0.8494798856618537,-0.08951225416363595
8,8,11.83654005404729,2.71309245517333,4.0,0.29161110581759786,0.01679357229155043
9,9,11.904892945312406,2.4248324785428066,4.5,0.2745549478566538,-1.3179477538818143
10,10,12.111095001903944,1.395144701291516,5.0,-0.8790483771513244,-1.2180807256668236
11,11,11.025844568161082,1.206751752875983,5.5,0.6941368674569759,0.5461831293676849
12,12,12.80523186936092,1.9413278306592008,6.0,2.4855283816537224,1.061343365005344
13,13,13.511372949814804,2.268095117881327,6.5,0.8243327748544562,-0.993151101268386
14,14,13.629564644215376,0.9481767293908148,7.0,1.1049629610188614,-0.6609152998205212
15,15,14.616335910833666,1.607179818060806,7.5,1.664216510442472,1.431676163408264
16,16,15.293781154657848,2.3798528927990787,8.0,0.7265788995725231,-0.09521938093934179
17,17,15.342914810406189,1.511960437121464,8.5,0.7180574180231662,-2.0874921564473765
18,18,16.011838572681015,0.2923607363517023,9.0,0.4186037057451397,-0.009557072796043231
19,19,15.761518516151328,1.5024033643254209,9.5,1.1113241820118631,0.6299402619468277
20,20,17.123162754692878,0.92230099829853,10.0,1.8320717971285614,-0.12811005600798575
21,21,17.59359031327989,1.3742933083174351,10.5,1.8968748382063936,0.485449371581647
22,22,19.02003759289927,1.407750369880177,11.0,1.0305091681684466,-1.252154173410499
23,23,18.624099481448336,0.122139134906936,11.5,0.7025415648669942,0.18813497355912978
24,24,19.722579157766265,1.5958853434393068,12.0,2.1839126780500457,0.7694366779490012
25,25,20.808012159498382,0.8915758128559371,12.5,2.323636251003986,-0.5483083168067733
26,26,22.04621540877025,1.0475770266325335,13.0,2.3314152764569975,0.37465789350567136
27,27,23.13942743595538,1.2662337063616085,13.5,0.9927913523742511,0.3982884195216585
28,28,23.039006761144503,1.445865446154192,14.0,1.0357433222039916,-0.12219985458859761
29,29,24.17517075815937,1.1440338517730109,14.5,2.5396305912956016,-0.49190386749232917
30,30,25.578637352440104,0.9539615786618628,15.0,2.0506067318308787,0.9249528818407142
31,31,26.22577748999025,2.068986733613725,15.5,2.5272825638492478,-0.2726884413135505
32,32,28.105919916289352,0.6812731373483123,16.0,2.456270556361307,-0.4378165037445736
33,33,28.682048046351557,1.6311702298691515,16.5,0.5560257614952313,0.6624614324534046
34,34,28.661945677784583,1.343734569801717,17.0,0.41449177806483206,-0.13042663891457984
35,35,29.09653982441639,1.5007435909545717,17.5,2.9487851533283376,-0.1262320074215546
36,36,31.61073083111292,1.2175025623801623,18.0,3.093759862052096,1.2062361609838728
37,37,32.190299686468485,2.7069797519384444,18.5,0.8282346046552469,1.7253927735744703
38,38,32.43896543576817,2.9428953359546326,19.0,2.1719264452663793,0.34990853120812204
39,39,34.362226131734865,3.0568882831465665,19.5,1.3120427960657466,0.3114391195621664
40,40,33.751008231833914,3.254334455516799,20.0,-0.08703417885573828,1.1215680359272646
41,41,34.275191952879126,4.178456319073831,20.5,2.4173251057708924,0.7245866288228151
42,42,36.16833333760481,3.978921084339614,21.0,1.040918435384981,1.1138761320286266
43,43,35.31611038826411,5.292332451102458,21.5,-1.239401037970076,2.6885323615356764
44,44,34.92893229963473,6.6674534458752905,22.0,-2.140146022308741,1.6153547057822575
45,45,33.175964365955366,6.907687156884715,22.5,-2.287093692926611,1.7124020880927748
46,46,32.64183860670812,8.379855533968065,23.0,-0.07331142120857947,2.4433166459143445
47,47,33.10265294474679,9.35100380279906,23.5,-1.9335086483120207,2.4371342835415195
48,48,30.7083299583961,10.816989817509585,24.0,-4.78818958596494,1.5074221172295612
