,Unnamed: 0,x,y,t,dx,dy
0,0,7.065778867486664,3.180372311861903,0.0,-2.8576861208173447,-5.4780401478587555
1,1,5.636935807077991,0.4413522379325254,0.5,3.2502917940793647,4.376132486525458
2,2,10.316070661566028,7.556504798387362,1.0,8.886240003673805,2.4038553812055237
3,3,14.523175810751797,2.845207619138049,1.5,-0.11128479925891455,-4.716229397145122
4,4,10.204785862307114,2.840275401242239,2.0,-3.1056447454530893,-1.1068412092449207
5,5,11.417531065298707,1.7383664098931284,2.5,-3.5746004857126064,-1.663737548023894
6,6,6.630185376594508,1.176537853218345,3.0,1.6159555993026213,2.8062224034306356
7,7,13.033486664601329,4.544588813323764,3.5,3.036487445808824,2.3117957568649774
8,8,9.666672822403331,3.4883336100833224,4.0,-1.513075253106221,2.391842111929199
9,9,11.520411411495108,6.936430925252963,4.5,7.422637642942711,-2.7500189904284067
10,10,17.089310465346042,0.7383146196549157,5.0,-0.302330443364772,-4.907466609263237
11,11,11.218080968130336,2.028964315989726,5.5,-8.173872194177894,0.22868960432923502
12,12,8.915438271168147,0.9670042239841508,6.0,0.13706088205916878,-0.7230816217171441
13,13,11.355141850189504,1.305882694272582,6.5,5.22862107146978,3.312941484092014
14,14,14.144059342637927,4.2799457080761645,7.0,4.1466471541104255,0.8024358414403143
15,15,15.50178900429993,2.1083185357128964,7.5,1.676113536569316,-2.975093162082767
16,16,15.820172879207243,1.3048525459933975,8.0,-1.8804919816550463,0.5137500067391585
17,17,13.621297022644884,2.622068542452055,8.5,-2.8446125532886573,-1.110207516634422
18,18,12.975560325918586,0.1946450293589755,9.0,5.276369849923219,-2.510642034224276
19,19,18.897666872568102,0.1114265082277787,9.5,5.5602238728162305,1.158562452955258
20,20,18.535784198734817,1.3532074823142335,10.0,1.013723734881097,0.4918210667865291
21,21,19.9113906074492,0.6032475750143078,10.5,0.130164383446985,-0.3270432947467419
22,22,18.6659485821818,1.0261641875674916,11.0,0.33407278547871755,2.442344274905042
23,23,20.245463392927917,3.04559184991935,11.5,1.1225291471171985,-0.12090954851933544
24,24,19.788477729299,0.9052546390481562,12.0,-2.425763550392091,-1.9051882747529207
25,25,17.819699842535826,1.1404035751664292,12.5,8.64854567377456,0.6542579568069544
26,26,28.43702340307356,1.5595125958551106,13.0,4.486175076818959,1.0602229404608092
27,27,22.305874919354785,2.2006265156272384,13.5,-8.503136376802079,2.741020945551276
28,28,19.93388702627148,4.300533541406387,14.0,-1.9079510901579368,3.9310354329433634
29,29,20.39792382919685,6.131661948570602,14.5,5.257264111373878,-0.7844870663799282
30,30,25.19115113764536,3.516046475026459,15.0,0.40903089269021464,-5.548068971272134
31,31,20.806954721887063,0.583592977298468,15.5,3.1240340754542366,-1.5637553582124324
32,32,28.315185213099596,1.9522911168140265,16.0,12.002335179130984,4.666902288987301
33,33,32.80928990101805,5.250495266285769,16.5,-0.5831353606534044,-1.6423046482564128
34,34,27.732049852446192,0.3099864685576137,17.0,-0.3554989959454318,-1.5193899303276868
35,35,32.453790905072616,3.7311053359580826,17.5,8.491723549707853,4.255120225248564
36,36,36.223773402154045,4.565106693806177,18.0,1.7573125735926283,-3.2060825962087325
37,37,34.211103478665244,0.5250227397493501,18.5,-5.688128352318859,0.5742634413399861
38,38,30.535645049835185,5.139370135146163,19.0,0.9243467993003307,3.4796064538445415
39,39,35.135450277965575,4.004629193593892,19.5,7.883204147466191,-3.660388879649323
40,40,38.41884919730138,1.4789812554968402,20.0,4.882511826407303,-2.731042968146323
41,41,40.01796210437288,1.2735862254475685,20.5,-4.63635623948209,2.8830713860438597
42,42,33.78249295781929,4.3620526415407,21.0,-3.569176650827764,7.222230040688476
43,43,36.44878545354511,8.495816266136044,21.5,2.6226035103449377,3.537715740941083
44,44,36.405096468164224,7.899768382481783,22.0,2.317700764701627,-3.9951676908618357
45,45,38.76648621824674,4.500648575274209,22.5,-4.36400749246949,5.125757522167591
46,46,32.041088975694734,13.025525904649374,23.0,-3.2104142510936526,7.835746495928408
47,47,35.55607196715309,12.336395071202617,23.5,2.899115189616424,-3.544857311941424
48,48,34.94020416531116,9.48066859270795,24.0,-3.128752191336339,-1.0855431670801483
49,49,32.42731977581675,11.250851904122468,24.5,-6.393556434603973,1.9447808020298627
50,50,28.546647730707186,11.425449394737813,25.0,-9.159666471843025,4.887704095882738
51,51,23.267653303973724,16.138556000005206,25.5,-5.939924801108237,5.1890643696664025
52,52,22.60672292959895,16.614513764404215,26.0,-3.404358242404605,-2.2676374431286828
53,53,19.86329506156912,13.870918556876523,26.5,0.1582320120366525,-2.025695373660719
54,54,22.7649549416356,14.588818390743496,27.0,-1.9112472983193598,-1.0091005476929116
55,55,17.95204776324976,12.861818009183612,27.5,-7.888876704513127,0.9347718265221712
56,56,14.876078237122474,15.523590217265667,28.0,-1.2173903616786035,1.0710572558462879
57,57,16.734657401571155,13.9328752650299,28.5,2.6466946771017597,-9.636045487386731
58,58,17.522772914224234,5.887544729878937,29.0,-5.232086476609535,-2.3104626502277643
59,59,11.50257092496162,11.622412614802135,29.5,-1.4484447175038078,1.0574908113382504
60,60,16.074328196720426,6.945035541217187,30.0,7.706325770250526,-4.182516747701353
61,61,19.208896695212147,7.439895867100782,30.5,-2.1910254871701067,2.866197179223981
62,62,13.88330270955032,9.811232720441168,31.0,-9.145899161853041,-1.2872984380545054
63,63,10.062997533359106,6.152597429046277,31.5,-0.7572504021069282,-3.1525400091223448
64,64,13.126052307443391,6.658692711318824,32.0,1.5010837464656408,0.47356015932509976
65,65,11.564081279824746,6.626157588371377,32.5,-6.556978171942747,-0.9430943736013244
66,66,6.569074135500644,5.715598337717499,33.0,0.13262410535790892,-5.058442051022169
67,67,11.696705385182655,1.5677155373492075,33.5,1.7299036051959273,-2.34633676065138
68,68,8.298977740696571,3.369261577066119,34.0,4.723597018153482,6.646484130922905
69,69,16.420302403336137,8.214199668272112,34.5,-0.016723676299287504,-2.268864181254634
70,70,8.282254064397284,1.100397395811485,35.0,-2.6836609278227765,-4.990105853503842
71,71,13.73664147551336,3.2240938147682705,35.5,0.9482940145624656,3.834670836449831
72,72,9.23054807895975,4.935068232261316,36.0,-0.7284890504934065,2.8938502692976087
73,73,13.008152425019954,6.117944084065879,36.5,-0.3160636213019892,-2.8761450789931997
74,74,8.91448445765776,2.0589231532681165,37.0,1.7065818175857892,-2.80232058068059
75,75,14.714734242605743,3.315623503385289,37.5,6.839343196787805,1.2458520724229922
76,76,15.753827654445566,3.3047752256911087,38.0,0.7671202297199038,-2.0418859849994977
77,77,15.481854472325647,1.2737375183857913,38.5,-7.28418821133096,-2.8014237873220593
78,78,8.469639443114605,0.5033514383690494,39.0,-3.004700563842091,0.33676590522174954
79,79,12.477153908483556,1.6105034236075408,39.5,4.64409923543929,2.3994500225505955
80,80,13.113738678553895,2.902801460919645,40.0,1.1525503536060722,2.8458183569533855
81,81,13.629704262089628,4.456321780560926,40.5,2.9957558918789093,-2.0359339529495286
82,82,16.109494570432805,0.8668675079701162,41.0,3.1470526386807087,-1.7202709368952176
83,83,16.776756900770337,2.7360508436657085,41.5,-2.701874737169568,2.9856598144564166
84,84,13.407619833263237,3.852527322426533,42.0,-2.228183103521026,-1.2797599723821105
85,85,14.548573797249311,1.456290871283598,42.5,3.581866796861604,-3.4083851613290266
86,86,16.98948663012484,0.4441421610975065,43.0,1.9038996360679974,1.0783218576524078
87,87,16.45247343331731,2.534612728936006,43.5,-1.607473029729121,3.9872209985676
88,88,15.38201360039572,4.431363159665106,44.0,1.0653810700137463,-0.3339782691614328
89,89,17.517854503331055,2.200634459774573,44.5,6.688166197512668,-1.5058353400779252
90,90,22.070179797908388,2.925527819587181,45.0,-0.7867367572629291,1.9538949719378316
91,91,16.731117746068126,4.154529431712405,45.5,-0.9441456094921001,-0.3893234425668268
92,92,21.126034188416288,2.536204377020354,46.0,5.016704337322754,1.2871112899171306
93,93,21.74782208339088,5.441640721629535,46.5,2.356629504847927,-0.5914830675719958
94,94,23.482663693264215,1.9447213094483584,47.0,1.873377094056508,-4.0527767134961366
95,95,23.621199177447387,1.3888640081333985,47.5,-0.5717477125910655,1.4126786150001114
96,96,22.91091598067315,3.35739992444847,48.0,2.2062042992551163,-1.3544854407893858
97,97,25.827403476702504,0.0343785673440126,48.5,-0.08125595285590492,-2.271564436114371
98,98,22.829660027817244,1.085835488334099,49.0,5.3490426351933,1.1211935915897115
99,99,31.176446111895803,1.1555721589337242,49.5,4.934803596663794,-0.2509749812168298
100,100,27.76446362448104,0.8348605071172692,50.0,-1.0183208218436697,6.206975688139069
101,101,30.158125290052133,7.362547847072793,50.5,5.236229013143102,2.632337946984009
102,102,33.00069263762414,3.467198454101278,51.0,1.789787178353361,-7.023220031285901
103,103,31.947912468405494,0.3393278157868922,51.5,-0.13301877080532165,-2.2377724724726304
104,104,32.86767386681882,1.229425981628648,52.0,3.5246359613415557,0.613480929437143
105,105,35.47254842974705,0.9528087452240352,52.5,0.17418161115269015,-0.5866077596852393
106,106,33.04185547797151,0.6428182219434087,53.0,-0.08500687237238935,1.3845025315263009
107,107,35.38754155737466,2.337311276750336,53.5,0.23026041477960035,8.717899122100459
108,108,33.27211589275111,9.360717344043866,54.0,-1.2329369584337257,-1.761680630124106
109,109,34.154604598940935,0.5756306466262302,54.5,5.465287256424027,1.2285676268686672
110,110,38.73740314917514,10.589284970912534,55.0,-1.2899229065708795,6.926386538310585
111,111,32.864681692370056,7.502017184936816,55.5,-0.9723733218149349,-6.838212944216742
112,112,37.7650298273602,3.751072026695792,56.0,-3.041504496036925,1.5459001515944761
113,113,29.82317719633313,9.047917336531292,56.5,-4.133662428455011,2.3188522556977285
114,114,33.63136739890519,6.06992428239352,57.0,0.7322518090882646,3.9798089408935624
115,115,30.555429005421395,13.027726277424854,57.5,-3.48817240727103,5.981328725968536
116,116,30.14319499163416,12.051253008362057,58.0,-1.6440824424858747,-0.6285697775510375
117,117,28.91134656293552,12.399156499873817,58.5,-4.295576112009833,-0.295198356042631
118,118,25.847618879624328,11.756054652319426,59.0,-5.493377135838912,1.2341216475556873
